"Tilda UID";Brand;SKU;Mark;Category;Title;Description;Text;Photo;Price;Quantity;"Price Old";Editions;Modifications;"External ID";"Parent UID";Weight;Length;Width;Height;Unit;Portion
313350830022;;O-1;;Овощи;"Огурцы Луховицкие";"Легендарные Луховицкие огурцы имеют средний размер и тонкую кожуру. Они особенно ценятся за<span class=""product-card__info-intro-hidden""> сочность, хрусткость и свежий, чуть сладковатый вкус без горечи. Огурчики превосходно подойдут для приготовления свежих салатов.<br /><br /></span>";"<strong>Цена:</strong> товар весовой, конечная стоимость будет рассчитана в соответствии с его весом. <strong>Важно:</strong> овощ не обработан химическими средствами, поэтому требователен к хранению. Пожалуйста, соблюдайте сроки годности и условия хранения. <strong>Пищевая ценность:</strong> белки - 0,8 г., жиры - 0,1 г., углеводы - 2,8 г.; на 100 г. <strong>Энергетическая ценность:</strong> 15 кКал / 62,76 кДж <strong>Срок годности:</strong> 4 суток. <strong>Условия хранения:</strong> при температуре от +2 до +6 °С. <strong>Упаковка:</strong> крафтовый пакет. <strong>Место происхождения:</strong> Россия.";https://static.tildacdn.com/stor6130-3531-4330-b662-316435373137/28982196.jpg;240.00;10;;;;CNZSnc689VTBAMoaNjz3;;0;0;0;0;KGM;1
198991915472;;O-2;;Овощи;"Помидоры розовые";"Крупные, сочные помидоры из Тверской области. В процессе выращивания используются принципы<span class=""product-card__info-intro-hidden""> органического земледелия — никаких синтетических удобрений и ядохимикатов. Яркие помидоры можно есть просто так, а можно добавлять их в свежие летние салаты и вторые блюда.<br /><br /></span>";"<strong>Цена:</strong> товар весовой, конечная стоимость будет рассчитана в соответствии с его весом. <strong>Важно:</strong> овощ не обработан химическими средствами, поэтому требователен к хранению. Пожалуйста, соблюдайте сроки годности и условия хранения. <strong>Качество:</strong> 1-го сорта, плоды с дефектом не более 10% по Международным нормам. <strong>Сорт:</strong> Джи-ти. <strong>Пищевая ценность:</strong> белки - 1,1 г., жиры - 0,2 г., углеводы - 3,7 г.; на 100 г. <strong>Энергетическая ценность:</strong> 20,08 кКал / 84 кДж <strong>Срок годности:</strong> 7 суток. <strong>Условия хранения:</strong> при температуре от +2 до +6 °С. <strong>Упаковка:</strong> контейнер. <strong>Место происхождения:</strong> Тверская область, Рамешковский район. <a href=""https://esh-derevenskoe.ru/aleksandr-junak""> </a>";https://static.tildacdn.com/stor3966-6363-4664-b566-653437303265/10454229.jpg;365.00;10;;;;dyiEppDxGdpercN9uPyT;;0;0;0;0;KGM;1
479150373972;;O-3;;Овощи;Кабачки;"Отборные фермерские кабачки отлично подходят для приготовления множества разнообразных блюд.<span class=""product-card__info-intro-hidden""> Их можно жарить, тушить, запекать, использовать для приготовления икры, драников, рулетов и запеканок. Кабачки богаты витаминами группы В, С, а также калием, магнием и фосфором. Этот диетический овощ благотворно влияет на пищеварение, снижает уровень холестерина и улучшает метаболизм.<br /><br /></span>";"<strong>Цена:</strong> товар весовой, конечная стоимость будет рассчитана в соответствии с его весом. <strong>Важно:</strong> овощ не обработан химическими средствами, поэтому требователен к хранению. Пожалуйста, соблюдайте сроки годности и условия хранения. Рекомендуется использовать озонаторы для продуктов питания. <strong>Качество:</strong> 1-го сорта, плоды с дефектом не более 10% по Международным нормам. <strong>Пищевая ценность:</strong> белки - 1,2 г., жиры - 0,1 г., углеводы - 3,2 г.; на 100 г. <strong>Энергетическая ценность:</strong> 14,99 ккал. / 62,7 кДж. <strong>Срок годности:</strong> 7 суток. <strong>Условия хранения:</strong> при температуре от +2 до +6 °С. <strong>Упаковка:</strong> крафтовый пакет. <strong>Место происхождения:</strong> Тульская область, город Тула. <a href=""https://esh-derevenskoe.ru/elena-grishina""> </a>";https://static.tildacdn.com/stor6433-3030-4238-b766-383039313735/85724231.jpg;180.00;10;;;;5UhJM0ZkRRrDfGDyl2m4;;0;0;0;0;KGM;1
769964810252;;Z-1;;Зелень;"Салат ""Айсберг""";"Хрустящий и сочный зеленый салат Айсберг отлично дополнит свежие салаты, закуски, смузи и<span class=""product-card__info-intro-hidden""> овощные ассорти. Айсберг богат пищевыми волокнами, витаминами, аминокислотами, калием, кальцием и железом.<br /><br /></span>";"<strong>Цена:</strong> товар весовой, конечная стоимость будет рассчитана в соответствии с его весом. <strong>Важно:</strong> овощ не обработан химическими средствами, поэтому требователен к хранению. Пожалуйста, соблюдайте сроки годности и условия хранения. Не забывайте мыть продукты перед употреблением. <strong>Пищевая ценность:</strong> белки - 0,9 г., жиры - 0,1 г., углеводы - 1,8 г.; на 100 г. <strong>Энергетическая ценность:</strong> 14,06 ккал. / 58,8 кДж. <strong>Срок годности:</strong> 5 суток. <strong>Условия хранения:</strong> при температуре от +2 до +6 °С. <strong>Упаковка:</strong> дышащий пакет. <strong>Место происхождения:</strong> Россия, Краснодарский край.";https://static.tildacdn.com/stor3561-3635-4330-a666-373161353935/86132138.jpg;556.00;10;;;;3bIK7kMfI99hUZgMtBHP;;0;0;0;0;KGM;1
686714656622;;O-4;;Овощи;"Картофель молодой";"Молодой картофель, продукт особенно ценится за высокое качество: при приготовлении картофель<span class=""product-card__info-intro-hidden""> получается вкусным и рассыпчатым.<br /><br /></span>";"<strong>Цена:</strong> товар весовой, конечная стоимость будет рассчитана в соответствии с его весом. <strong>Качество:</strong> 1-го сорта, плоды с дефектом не более 10% по Международным нормам <strong>Срок годности:</strong> 14 суток <strong>Условия хранения:</strong> при температуре от +5 до +10 °С <strong>Упаковка:</strong> крафтовый пакет";https://static.tildacdn.com/stor3732-6366-4166-a231-323365353163/41410466.jpg;140.00;10;;;;tSeDvGMaSpnvXmOsIgES;;0;0;0;0;KGM;1
982243318812;;О-5;;Овощи;"Капуста молодая";"Свежая и хрусткая капуста урожая этого года порадует насыщенным вкусом и ярким ароматом. Из<span class=""product-card__info-intro-hidden""> нее получается множество вкусных и питательных блюд: щи, салаты, пирожки и даже котлеты. Сочные капустные листья превосходно подойдут для приготовления аппетитных голубцов. Белокочанная капуста богата аминокислотами, клетчаткой, витаминами и минералами, что делает ее очень полезной для организма.<br /><br /></span>";"<strong>Цена:</strong> товар весовой, конечная стоимость будет рассчитана в соответствии с его весом. <strong>Важно:</strong> овощ не обработан химическими средствами, поэтому требователен к хранению. Пожалуйста, соблюдайте сроки годности и условия хранения. <strong>Пищевая ценность:</strong> белки - 1,8 г., жиры - 0,1 г., углеводы - 4,7 г.; на 100 г. <strong>Энергетическая ценность:</strong> 26,99 ккал / 112,9 кДж <strong>Срок годности:</strong> 14 суток. <strong>Условия хранения:</strong> при температуре от +2 до +6 °С. <strong>Упаковка:</strong> крафтовый пакет.";https://static.tildacdn.com/stor3965-3734-4933-a539-343633326330/33519490.jpg;175.00;10;;;;tkE4g6hnAxU2GtAAEXc1;;0;0;0;0;KGM;1
245622908902;;О-6;;Овощи;Картофель;"Картофель отличается нежной, рассыпчатой текстурой и приятным сладковатым вкусом.<span class=""product-card__info-intro-hidden""> Натуральный фермерский продукт – это богатый источник витаминов С и В6, а также калия, которые способствуют укреплению иммунной системы, улучшению работы сердечно-сосудистой системы и пищеварения. Картофель можно запекать или отваривать, не очищая тонкую кожицу.<br /><br /></span>";"<strong>Цена:</strong> товар весовой, конечная стоимость будет рассчитана в соответствии с его весом. <strong>Важно:</strong> овощ не обработан химическими средствами, поэтому требователен к хранению. Пожалуйста, соблюдайте сроки годности и условия хранения. Рекомендуется использовать озонаторы для продуктов питания. <strong>Качество:</strong> 1-го сорта, плоды с дефектом не более 10% по Международным нормам. <strong>Пищевая ценность:</strong> белки - 2,4 г., жиры - 0,4 г., углеводы - 12,4 г.; на 100 г. <strong>Энергетическая ценность:</strong> 61 ккал / 255,2 кДж <strong>Срок годности:</strong> 15 суток. <strong>Условия хранения:</strong> при температуре от +2 до +6 °С. <strong>Упаковка:</strong> крафтовый пакет. <strong>Место происхождения:</strong> Краснодарский край . <a href=""https://esh-derevenskoe.ru/boris-spivakov""> </a>";https://static.tildacdn.com/stor6630-3962-4435-b236-643832393630/29501736.jpg;150.00;10;;;;CuUayB7DrYRIB7hG7D8l;;0;0;0;0;KGM;1
746341039782;;Z-3;;Зелень;Шпинат;"Шпинат со свежим вкусом и сочными листочками. Он прекрасно подходит для приготовления<span class=""product-card__info-intro-hidden""> зеленых салатов и смузи. Листья шпината нередко добавляют к горячим блюдам в качестве полезного и яркого украшения. Шпинат выращен методами органического земледелия, без применения синтетических пестицидов.<br /><br /></span>";"<strong>Цена:</strong> товар весовой, конечная стоимость будет рассчитана в соответствии с его весом. <strong>Важно:</strong> не забывайте мыть продукты перед употреблением. Зелень не обработана химическими средствами, поэтому требовательна к хранению. Пожалуйста, соблюдайте сроки годности и условия хранения. Рекомендуется использовать озонаторы для продуктов питания. <strong>Срок годности:</strong> 5 суток. <strong>Условия хранения:</strong> при температуре от +2 до +6 °С. <strong>Упаковка:</strong> дышащий пакет. <strong>Место происхождения:</strong> Тульская область, город Тула.";https://static.tildacdn.com/stor3265-3730-4730-b637-623830343664/88100212.jpg;1110.00;5;;;;L5DcSL2hdaeRb96coz1m;;0;0;0;0;KGM;1
144547567152;;O-7;;Овощи;"Помидоры розовые ""Бычье сердце""";"Помидоры розовые ""Бычье сердце"" – особый сорт грунтовых помидоров, отличающийся мясистостью,<span class=""product-card__info-intro-hidden""> наличием зеленых косточек, а также насыщенным вкусом и ярким ароматом. Томаты идеально подойдут для свежих салатов, овощной тарелки, а также изысканных закусок, например, в сочетании с моцареллой. Выращенные без применения агрохимии помидоры богаты антиоксидантами, витаминами группы В, А, К, Е, РР, а также железом, цинком и йодом.<br /><br /></span>";"<strong>Цена:</strong> товар весовой, конечная стоимость будет рассчитана в соответствии с его весом. <strong>Важно:</strong> овощ не обработан химическими средствами, поэтому требователен к хранению. Пожалуйста, соблюдайте сроки годности и условия хранения. <strong>Пищевая ценность:</strong> белки - 1,1 г., жиры - 0,2 г., углеводы - 3,7 г.; на 100 г. <strong>Энергетическая ценность:</strong> 83.6 кДж / 19,99 кКал <strong>Срок годности:</strong> 7 суток. <strong>Условия хранения:</strong> при температуре от +2 до +6 °С. <strong>Упаковка:</strong> пластиковый контейнер.";https://static.tildacdn.com/stor3962-3731-4465-a362-306336323635/46841222.jpg;624.00;10;;;;XYLb0HyvpiG0Kza8IXx9;;0;0;0;0;KGM;1
187868923782;;Z-4;;Зелень;"Чеснок молодой";"Свежий молодой чеснок универсален в кулинарии и придает любому блюду приятную пикантность.<span class=""product-card__info-intro-hidden""> Добавьте зубчик чеснока в салат, горячее или закуску — это сделает их вкус и аромат более насыщенными. Чеснок содержит множество ценных веществ и обладает мощными антибактериальными и укрепляющими свойствами — настоящая кладезь пользы для организма!<br /><br /></span>";"<strong>Важно:</strong> в упаковке допускается попадание плодов с дефектом формы, окраски, небольшими механическими повреждениями. Овощ не обработан химическими средствами, поэтому требователен к хранению. Пожалуйста, соблюдайте сроки годности и условия хранения, берегите от солнечного света. Рекомендуется использовать озонаторы для продуктов питания. <strong>Качество:</strong> 1-го сорта, плоды с дефектом не более 10% по Международным нормам. <strong>Пищевая ценность:</strong> белки - 6,5 г., жиры - 0,5 г., углеводы - 29,9 г.; на 100 г. <strong>Энергетическая ценность:</strong> 143 ккал / 598,3 кДж. <strong>Срок годности:</strong> 28 суток. <strong>Условия хранения:</strong> при температуре от +5 до +10 °С.";https://static.tildacdn.com/stor6236-6437-4634-b538-383334363961/24229336.jpg;408.00;5;;;;F4BgV1ng0nxf0XN5rG1N;;0;0;0;0;KGM;1
